,daysBetweenDates,isBasicEconomy,1depTimeOnly,numberOfStopovers,waitingTime,numericalStartingAirport,numericalDestinationAirport,numerical1cabin,totalFare
191,18,1,22,1,6.0,13,4,1,302.2
192,16,1,22,1,6.0,7,6,1,202.2
193,10,0,16,1,1.0,4,2,1,244.6
195,19,0,10,0,0.0,11,13,1,218.6
197,19,0,21,0,0.0,11,8,1,118.6
198,55,0,12,1,6.0,4,1,1,202.2
199,27,0,14,0,0.0,1,10,1,93.6
200,53,0,6,1,1.0,5,6,1,156.1
201,42,0,7,1,5.0,15,12,1,307.2
202,42,0,12,0,0.0,1,8,1,108.6
203,38,0,19,0,0.0,13,2,1,349.6
204,6,0,19,0,0.0,4,0,1,202.6
205,27,0,11,0,0.0,11,0,1,228.6
206,21,1,8,1,5.0,1,2,1,257.2
207,45,0,13,2,3.0,8,4,1,717.1
208,27,1,10,0,0.0,3,4,1,202.6
209,48,0,22,1,6.0,7,8,1,402.2
210,44,0,10,1,6.0,3,8,1,707.2
211,1,0,13,1,2.0,7,11,1,389.61
212,41,0,11,1,1.0,0,10,1,127.6
213,8,0,8,1,4.0,14,7,2,392.61
214,31,1,10,1,2.0,0,9,1,177.61
215,49,0,15,1,4.0,10,13,1,112.6
216,54,0,7,1,5.0,2,9,1,618.7
217,15,0,12,1,1.0,1,2,1,238.6
218,32,1,12,1,2.0,11,9,1,142.6
219,8,0,16,1,1.0,4,11,1,334.6
220,58,0,16,1,2.0,10,3,1,297.61
221,53,0,10,1,2.0,11,14,1,523.6
222,7,0,17,1,5.0,9,0,1,254.58
223,57,0,24,1,3.0,3,13,1,629.61
224,57,0,7,2,4.0,12,11,1,585.1
225,6,1,13,1,3.0,6,13,1,147.6
226,21,0,17,1,2.0,7,1,1,481.59
227,10,0,18,0,0.0,3,13,1,205.6
228,35,0,13,1,1.0,2,14,1,177.1
229,49,0,14,1,4.0,11,7,1,237.6
230,35,0,10,1,1.0,10,5,1,287.6
231,49,0,9,2,7.0,8,11,1,606.7
232,48,0,14,2,4.0,10,1,1,151.1
